,,,,
letterlabel,lettertypelabel,sendername,name,gender
Q.01.19150323.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150328.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150403.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150413.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150606.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150624.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150710.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150906.FMA.01,militaryMail,"Marc, Franz","Walden, Nell",Weiblich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151027.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151124.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151223.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19151225.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Marc, Franz",Männlich
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Marc, Franz",Männlich
Q.01.19140610.FMA.01,postcard,"Marc, Franz","Marc, Franz",Männlich
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19140908.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19141129.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19150818.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19151007.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Marc, Franz",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Jacoba van",Weiblich
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Jacoba van",Weiblich
Q.01.19150323.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Jacoba van",Weiblich
Q.01.19150530.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Jacoba van",Weiblich
Q.01.19140322.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Schwester (von Jacoba van Heemskerck van Beest),Unbekannt
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Schwester (von Jacoba van Heemskerck van Beest),Unbekannt
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Schwester (von Jacoba van Heemskerck van Beest),Unbekannt
Q.01.19140322.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Eduard Jacob van",Unbekannt
Q.01.19150303.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heemskerck van Beest, Eduard Jacob van",Unbekannt
Q.01.19140322.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Schames, Ludwig",Männlich
Q.01.19141023.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Schames, Ludwig",Männlich
Q.01.19140322.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19140703.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19141014.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19141023.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19141129.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150328.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150413.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150429.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150530.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150710.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19150723.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151007.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151018.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151027.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19151223.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Marie",Unbekannt
Q.01.19140115.FMA.01,postcard,"Marc, Franz","Kandinsky, Wassily",Männlich
Q.01.19140124.FMA.01,postcard,"Marc, Franz","Kandinsky, Wassily",Männlich
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Kandinsky, Wassily",Männlich
Q.01.19140601.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19140727.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19150818.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19151225.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kandinsky, Wassily",Männlich
Q.01.19140601.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19140612.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19150409.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Le Fauconnier, Henri",Männlich
Q.01.19140612.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Toorop, Jan",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Toorop, Jan",Männlich
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Toorop, Jan",Männlich
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Toorop, Jan",Männlich
Q.01.19140612.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19150323.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19150618.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kickert, Conrad",Männlich
Q.01.19140612.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Scheerbart, Paul",Männlich
Q.01.19140608.FMA.01,postcard,"Marc, Franz","Beffie, Willem Wolff",Unbekannt
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Beffie, Willem Wolff",Unbekannt
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Beffie, Willem Wolff",Unbekannt
Q.01.19140608.FMA.01,postcard,"Marc, Franz","Chagall, Marc",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Chagall, Marc",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Sluyters, Jan",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Sluyters, Jan",Männlich
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Bürgermeister (von Domburg/Zeeland um 1914),Unbekannt
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Bürgermeister (von Domburg/Zeeland um 1914),Unbekannt
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Capitän Christus,Unbekannt
Q.01.19140721.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Famia,Unbekannt
Q.01.19140507.FMA.01,postcard,"Marc, Franz","Taut, Bruno",Männlich
Q.01.19140512.FMA.01,postcard,"Marc, Franz","Taut, Bruno",Männlich
Q.01.19140908.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Taut, Bruno",Männlich
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Taut, Bruno",Männlich
Q.01.19140908.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19141219.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150116.FMA.01,militaryMail,"Marc, Franz","Behne, Adolf",Männlich
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150129.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150308.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150310.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150409.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150413.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150618.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150710.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Behne, Adolf",Männlich
Q.01.19140925.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Hüber, Roelofssen",Unbekannt
Q.01.19140925.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Santen, van",Unbekannt
Q.01.19141014.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Doesburg, Theo van",Männlich
Q.01.19151014.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Doesburg, Theo van",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz","Macke, August",Männlich
Q.01.19140610.FMA.01,postcard,"Marc, Franz","Macke, August",Männlich
Q.01.19141023.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Macke, August",Männlich
Q.01.19141129.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Macke, August",Männlich
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Macke, August",Männlich
Q.01.19141027.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Ridderhof,Unbekannt
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Ridderhof,Unbekannt
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Ridderhof,Unbekannt
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Ridderhof,Unbekannt
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Ridderhof,Unbekannt
Q.01.19141105.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Hess, Leopold",Unbekannt
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Hess, Leopold",Unbekannt
Q.01.19141105.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Wagner, R.",Unbekannt
Q.01.19141129.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Lotz, Ernst Wilhelm",Männlich
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kahnweiler, Daniel-Henry",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Mondrian, Piet",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Mondrian, Piet",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Mondrian, Piet",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Alma, Peter",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Alma, Peter",Männlich
Q.01.19140119.FMA.01,postcard,"Marc, Franz","Filla, Emil",Männlich
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Filla, Emil",Männlich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Filla, Emil",Männlich
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Tak van Poortvliet, Johannes Pieter Roetert",Unbekannt
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Gevers, Willem",Männlich
Q.01.19150303.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Gevers, Willem",Männlich
Q.01.19150308.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Leer, Francisca van",Weiblich
Q.01.19150606.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Leer, Francisca van",Weiblich
Q.01.19151223.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Leer, Francisca van",Weiblich
Q.01.19151225.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Leer, Francisca van",Weiblich
Q.01.19150317.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heurn, van",Unbekannt
Q.01.19150328.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Heurn, van",Unbekannt
Q.01.19150321.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Schuurman, Max",Unbekannt
Q.01.19150323.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Schelfhout, Lodewijk",Unbekannt
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Schelfhout, Lodewijk",Unbekannt
Q.01.19150323.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Gestel, Leo",Unbekannt
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Gestel, Leo",Unbekannt
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Stramm, August",Männlich
Q.01.19151010.FMA.01,letter,"Marc, Franz","Stramm, August",Männlich
Q.01.19151016.FMA.01,letter,"Marc, Franz","Stramm, August",Männlich
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Stramm, August",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Lenbach, Franz von",Männlich
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Bremmer, Henk",Männlich
Q.01.19151007.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Breuer, Robert",Männlich
Q.01.19151014.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Saalborn, Louis",Unbekannt
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Kokoschka, Oskar",Männlich
Q.01.19151016.FMA.01,letter,"Marc, Franz","Kokoschka, Oskar",Männlich
Q.01.19151018.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kokoschka, Oskar",Männlich
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Mesdag, Hendrik Willem",Männlich
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Versluys, W.",Unbekannt
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Picasso, Pablo",Männlich
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Lapidoth, F.",Unbekannt
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Janssen, Miek",Männlich
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Wiegand, Charmion von",Unbekannt
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Wichert,Unbekannt
Q.01.19151225.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Wichert,Unbekannt
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Kühlmann, Richard von",Männlich
Q.01.19151225.JVH.01,letter,"Heemskerck van Beest, Jacoba van",Bruder (von Francisca van Leer),Unbekannt
Q.01.19140115.FMA.01,postcard,"Marc, Franz",Feige,Unbekannt
Q.01.19140115.FMA.01,postcard,"Marc, Franz","Reiche, Richart",Unbekannt
Q.01.19140119.FMA.01,postcard,"Marc, Franz","Reiche, Richart",Unbekannt
Q.01.19140121.FMA.01,letter,"Marc, Franz","Reiche, Richart",Unbekannt
Q.01.19140124.FMA.01,postcard,"Marc, Franz","Reiche, Richart",Unbekannt
Q.01.19140119.FMA.01,postcard,"Marc, Franz","Cassirer, Paul",Männlich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Cassirer, Paul",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz","Cassirer, Paul",Männlich
Q.01.19140119.FMA.01,postcard,"Marc, Franz",Beneé,Unbekannt
Q.01.19140121.FMA.01,letter,"Marc, Franz","Pfemfert, Franz",Männlich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Campendonk, Heinrich",Männlich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Bechteev, Vladimir G.",Unbekannt
Q.01.19140121.FMA.01,letter,"Marc, Franz","Jawlensky, Alexej von",Männlich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Werefkin, Marianne von",Weiblich
Q.01.19140121.FMA.01,letter,"Marc, Franz","Erbslöh, Adolf",Männlich
Q.01.19140121.FMA.01,letter,"Marc, Franz",C. Gebh.,Unbekannt
Q.01.19140125.FMA.02,letter,"Marc, Franz",Bock,Unbekannt
Q.01.19150315.FMA.02,letter,"Marc, Franz",Bock,Unbekannt
Q.01.19140125.FMA.02,letter,"Marc, Franz","Benkard, Ernst",Männlich
Q.01.19140125.FMA.02,letter,"Marc, Franz","Thannhauser, Heinrich",Männlich
Q.01.19141113.FMA.01,militaryMail,"Marc, Franz","Thannhauser, Heinrich",Männlich
Q.01.19140125.FMA.02,letter,"Marc, Franz","Beckerath, Willy von",Männlich
Q.01.19140125.FMA.02,letter,"Marc, Franz","Koehler, Bernhard",Unbekannt
Q.01.19150315.FMA.01,postcard,"Marc, Franz","Koehler, Bernhard",Unbekannt
Q.01.19150315.FMA.02,letter,"Marc, Franz","Koehler, Bernhard",Unbekannt
Q.01.19151125.FMA.01,militaryMail,"Marc, Franz","Koehler, Bernhard",Unbekannt
Q.01.19140409.FMA.01,postcard,"Marc, Franz","Shakespeare, William",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz","Macke, Helmuth",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz","Klee, Paul",Männlich
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Klee, Paul",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz","Moilliet, Louis",Männlich
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Heckel, Erich",Männlich
Q.01.19140421.FMA.01,postcard,"Marc, Franz","Kubin, Alfred",Männlich
Q.01.19140606.FMA.01,postcard,"Marc, Franz",Feldmann,Unbekannt
Q.01.19140610.FMA.01,postcard,"Marc, Franz",Feldmann,Unbekannt
Q.01.19140627.FMA.01,postcard,"Marc, Franz","Hartley, Marsden",Unbekannt
Q.01.19141113.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150116.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150121.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150315.FMA.01,postcard,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150315.FMA.02,letter,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150327.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150710.FMA.01,postcard,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150827.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150906.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19151125.FMA.01,militaryMail,"Marc, Franz","Marc, Maria",Weiblich
Q.01.19150121.FMA.01,militaryMail,"Marc, Franz",August (Stramm?),Unbekannt
Q.01.19150303.FMA.01,postcard,"Marc, Franz","Ostini, Fritz von",Männlich
Q.01.19150303.FMA.01,postcard,"Marc, Franz","Mombert, Alfred",Männlich
Q.01.19150327.FMA.01,militaryMail,"Marc, Franz","Nissen, Benedikt Momme",Männlich
Q.01.19150906.FMA.01,militaryMail,"Marc, Franz","Nissen, Benedikt Momme",Männlich
Q.01.19150918.FMA.01,militaryMail,"Marc, Franz","Niestlé, Jean-Bloé",Unbekannt
Q.01.19151001.FMA.01,militaryMail,"Marc, Franz","Daffner, Hugo",Männlich
Q.01.19151010.FMA.01,letter,"Marc, Franz",Mälinger,Unbekannt
Q.01.19151113.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Bruggen Cate, J.D. ten",Unbekannt
Q.01.19151209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Rembrandt, Harmensz van Rijn",Männlich
Q.01.19150703.FMA.01,militaryMail,"Marc, Franz","Delacroix, Eugène",Männlich
Q.01.19150710.FMA.01,postcard,"Marc, Franz","Delacroix, Eugène",Männlich
Q.01.19140414.FMA.01,postcard,"Marc, Franz",Klugen,Unbekannt
